hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,deposit_type,customer_type,adr
Resort Hotel,0,342,July,0,0,2,0,No Deposit,Transient,0
Resort Hotel,0,737,July,0,0,2,0,No Deposit,Transient,0
Resort Hotel,0,7,July,0,1,1,0,No Deposit,Transient,75
Resort Hotel,0,13,July,0,1,1,0,No Deposit,Transient,75
Resort Hotel,1,14,July,0,2,2,0,No Deposit,Transient,98
Resort Hotel,0,0,July,0,1,1,0,No Deposit,Transient,75
Resort Hotel,1,9,July,0,2,2,0,No Deposit,Transient,98
Resort Hotel,1,6,July,0,2,2,0,No Deposit,Transient,98
Resort Hotel,1,0,July,0,2,2,0,No Deposit,Transient,98
Resort Hotel,0,0,July,0,2,2,0,No Deposit,Transient,98
City Hotel,0,50,August,0,2,2,0,No Deposit,Transient,121
City Hotel,1,34,August,0,2,2,0,Non Refund,Transient,123
City Hotel,1,0,August,0,2,2,0,Non Refund,Transient,125
City Hotel,0,0,August,0,2,2,0,No Deposit,Transient,119
City Hotel,1,0,August,0,2,2,0,No Deposit,Transient,120
City Hotel,0,0,August,0,2,2,0,No Deposit,Transient,120
